Yr,Mon,EST. CHACAY A
2007,1,167.92868217054263
2007,2,119.77519379844965
2007,3,100.65503875968993
2007,4,60.7015503875969
2007,5,29.03720930232558
2007,6,19.536434108527132
2007,7,23.658914728682173
2007,8,33.94418604651163
2007,9,63.14651162790698
2007,10,92.57829457364342
2007,11,127.96356589147288
2007,12,151.90930232558142
2008,1,169.8387596899225
2008,2,120.631007751938
2008,3,103.2108527131783
2008,4,62.20155038759691
2008,5,32.46046511627907
2008,6,20.15891472868217
2008,7,28.38217054263566
2008,8,38.96821705426357
2008,9,67.2906976744186
2008,10,99.42093023255813
2008,11,132.7418604651163
2008,12,156.231007751938
2009,1,178.3364341085272
2009,2,132.9968992248062
2009,3,114.5
2009,4,67.82403100775194
2009,5,32.6170542635659
2009,6,22.63720930232558
2009,7,25.781395348837215
2009,8,38.38217054263566
2009,9,62.88992248062016
2009,10,91.85658914728683
2009,11,110.12093023255812
2009,12,144.8550387596899
2010,1,174.36046511627907
2010,2,122.75348837209305
2010,3,108.93410852713178
2010,4,62.20155038759691
2010,5,30.637984496124034
2010,6,23.559689922480622
2010,7,26.414728682170548
2010,8,37.98062015503876
2010,9,64.66899224806201
2010,10,93.8558139534884
2010,11,122.0860465116279
2010,12,147.38837209302326
2011,1,163.17364341085272
2011,2,121.93100775193798
2011,3,100.3341085271318
2011,4,65.7015503875969
2011,5,31.316279069767447
2011,6,22.70232558139535
2011,7,25.83720930232558
2011,8,36.181395348837206
2011,9,67.62558139534885
2011,10,95.77674418604653
2011,11,123.72015503875969
2011,12,163.00852713178293
2012,1,169.7511627906977
2012,2,121.5201550387597
2012,3,108.87751937984497
2012,4,58.72403100775195
2012,5,33.161240310077524
2012,6,23.43720930232558
2012,7,25.558914728682172
2012,8,37.58992248062016
2012,9,64.34651162790698
2012,10,89.07751937984497
2012,11,127.1418604651163
2012,12,140.9108527131783
2013,1,165.02868217054265
2013,2,121.49767441860463
2013,3,98.27674418604653
2013,4,61.87984496124031
2013,5,33.38294573643411
2013,6,23.380620155038763
2013,7,25.93720930232558
2013,8,39.545736434108534
2013,9,57.66821705426358
2013,10,101.99922480620157
2013,11,128.4860465116279
2013,12,169.93023255813955
2014,1,176.71627906976747
2014,2,119.31860465116281
2014,3,103.45581395348839
2014,4,57.723255813953486
2014,5,29.68217054263566
2014,6,22.537209302325586
2014,7,26.92480620155039
2014,8,43.22635658914729
2014,9,59.14806201550389
2014,10,102.0217054263566
2014,11,124.93023255813955
2014,12,156.51007751937985
2015,1,182.5372093023256
2015,2,130.53953488372093
2015,3,109.67674418604652
2015,4,61.44651162790699
2015,5,31.837984496124037
2015,6,23.43720930232558
2015,7,22.75891472868217
2015,8,37.20387596899225
2015,9,56.568992248062024
2015,10,83.84341085271319
2015,11,116.79689922480621
2015,12,158.47519379844962
2016,1,157.21782945736436
2016,2,134.56279069767444
2016,3,112.65581395348839
2016,4,52.099224806201555
2016,5,28.203100775193803
2016,6,18.24496124031008
2016,7,22.85813953488372
2016,8,44.83875968992248
2016,9,71.70232558139536
2016,10,87.1108527131783
2016,11,130.68527131782946
2016,12,157.38914728682172
2017,1,185.66046511627908
2017,2,130.56356589147288
2017,3,108.06589147286823
2017,4,58.77829457364342
2017,5,31.225581395348843
2017,6,24.358914728682173
2017,7,24.33643410852713
2017,8,37.460465116279074
2017,9,62.90310077519381
2017,10,88.43255813953489
2017,11,123.4868217054264
2017,12,154.72093023255817
2018,1,158.00310077519381
2018,2,127.12868217054263
2018,3,108.14728682170545
2018,4,60.010852713178295
2018,5,30.179844961240317
2018,6,19.646511627906975
2018,7,19.38992248062016
2018,8,35.93643410852713
2018,9,62.424031007751935
2018,10,79.25503875968992
2018,11,112.1077519379845
2018,12,146.6232558139535
2019,1,159.92403100775192
2019,2,132.87441860465117
2019,3,116.9124031007752
2019,4,64.93333333333334
2019,5,35.662790697674424
2019,6,24.058139534883722
2019,7,24.73643410852713
2019,8,40.083720930232566
2019,9,63.515503875969
2019,10,87.79922480620155
2019,11,131.13798449612406
2019,12,167.35193798449612
2020,1,177.06744186046512
2020,2,136.69767441860463
2020,3,116.13488372093025
2020,4,73.08294573643411
2020,5,37.35193798449613
2020,6,22.68139534883721
2020,7,23.958914728682174
2020,8,37.70697674418605
2020,9,62.83798449612404
2020,10,101.12093023255812
2020,11,128.2759689922481
2020,12,156.1372093023256
2021,1,168.2069767441861
2021,2,119.0
2021,3,102.54806201550389
2021,4,61.235658914728674
2021,5,33.38372093023256
2021,6,23.417054263565895
2021,7,27.91782945736435
2021,8,39.23023255813954
2021,9,61.94496124031008
2021,10,97.54418604651164
2021,11,126.93255813953488
2021,12,159.93720930232556
2022,1,163.4542635658915
2022,2,135.79767441860463
2022,3,116.02170542635662
2022,4,61.66821705426358
2022,5,32.82558139534884
2022,6,19.717054263565895
2022,7,20.192248062015505
2022,8,37.435658914728684
2022,9,61.84728682170543
2022,10,92.06356589147288
2022,11,129.6232558139535
