,0,1,2,3,4,5,6,7,8
2004-08-11,0.5018877817524804,0.5018877817524804,0.5018877817524804,0.0,0.3625527706597772,0.5493198368323029,0.4483145669750418,0.28108720747516375,0.28108720747516375
2004-08-12,0.38461181957122176,0.38461181957122176,0.38461181957122176,0.40565553307533264,0.3911698844394122,0.5562434725941978,0.43301779682172054,0.2644540641905473,0.2644540641905473
2004-08-13,0.34158299122637475,0.34158299122637475,0.34158299122637475,0.0,0.28687693815752424,0.5244611511250981,0.39294696515906175,0.22315737701334346,0.22315737701334346
2004-08-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-08-15,0.3094295439315818,0.3094295439315818,0.3094295439315818,0.0,0.3410453162698373,0.505436229062215,0.35969693193623614,0.16052894652900057,0.16052894652900057
2004-08-16,0.5832172935469109,0.5832172935469109,0.5832172935469109,0.0,0.3489030265484973,0.56767518475828,0.5331836569999606,0.56577769663587,0.56577769663587
2004-08-17,0.6608545302647595,0.6608545302647595,0.6608545302647595,0.0,0.54864656493364,0.6457646036253188,0.6272291954546476,0.559472859868187,0.559472859868187
2004-08-18,0.0,0.0,0.0,0.0,0.04292781995040563,0.03481628101084556,0.0760760777424859,0.0,0.0
2004-08-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-08-20,0.582654889564068,0.582654889564068,0.582654889564068,0.0,0.35866306159454014,0.5477612114644044,0.5172060509939629,0.5520838339237314,0.5520838339237314
2004-08-21,0.5614754636036722,0.5614754636036722,0.5614754636036722,0.0,0.31299101029610765,0.5712398479301728,0.533927137904657,0.5960885266019873,0.5960885266019873
2004-08-22,0.49992790678788346,0.49992790678788346,0.49992790678788346,0.0,0.29946584278482374,0.5691014021016234,0.49967390871138756,0.38109401220939315,0.38109401220939315
2004-08-23,0.56744113547063,0.56744113547063,0.56744113547063,0.0,0.3557331723800085,0.5482269086936037,0.49338515678776035,0.5329925938975485,0.5329925938975485
2004-08-24,0.5025486437200802,0.5025486437200802,0.5025486437200802,0.0,0.32835765040376086,0.5404105685587478,0.4463459491267052,0.3131731151205211,0.3131731151205211
2004-08-25,0.4516982301982522,0.4516982301982522,0.4516982301982522,0.0,0.3404497553258302,0.5811086128680432,0.47209808167447237,0.3672083117832148,0.3672083117832148
2004-08-26,0.5368189295830085,0.5368189295830085,0.5368189295830085,0.0,0.3059277339262812,0.5533506592015199,0.3819612265488435,0.31043979837679636,0.31043979837679636
2004-08-27,0.13202345127250717,0.13202345127250717,0.13202345127250717,0.0,0.20126492107328875,0.4382436889039651,0.3315137293275286,0.2357604468485588,0.2357604468485588
