Yr,Mon,RIO LARQUI C
2011,12,163.55016685205786
2012,1,170.55939933259182
2012,2,123.85417130144604
2012,3,109.96395995550614
2012,4,57.93982202447163
2012,5,31.867853170189104
2012,6,22.727141268075645
2012,7,24.84927697441602
2012,8,37.269076751946606
2012,9,63.64849833147943
2012,10,88.32291434927699
2012,11,127.8094549499444
2012,12,140.6974416017798
2013,1,165.8578420467186
2013,2,123.87563959955503
2013,3,99.69399332591769
2013,4,61.08286985539488
2013,5,32.15583982202447
2013,6,22.84349276974416
2013,7,25.32002224694105
2013,8,39.04771968854284
2013,9,57.03448275862069
2013,10,101.25639599555063
2013,11,129.19944382647387
2013,12,170.78565072302558
2014,1,178.20800889877643
2014,2,122.06729699666296
2014,3,104.3018909899889
2014,4,57.22758620689654
2014,5,28.5741935483871
2014,6,22.005784204671862
2014,7,26.26462736373749
2014,8,42.570300333704125
2014,9,58.1880978865406
2014,10,101.64538375973306
2014,11,125.99299221357064
2014,12,156.70155728587324
2015,1,184.52258064516127
2015,2,133.5709677419355
2015,3,111.0652947719689
2015,4,60.83181312569522
2015,5,30.794994438264737
2015,6,22.668520578420477
2015,7,22.197886540600674
2015,8,36.54093437152392
2015,9,55.723470522803126
2015,10,83.41690767519466
2015,11,116.90500556173525
2015,12,159.31078976640708
2016,1,157.71624026696333
2016,2,137.37308120133483
2016,3,113.27741935483874
2016,4,51.92691879866519
2016,5,27.477085650723026
2016,6,18.252947719688546
2016,7,22.35884315906563
2016,8,43.65895439377087
2016,9,70.9793103448276
2016,10,86.52202447163516
2016,11,131.5606229143493
2016,12,157.14972191323693
2017,1,188.07219132369298
2017,2,132.96017797552838
2017,3,108.78109010011124
2017,4,58.42914349276975
2017,5,30.523359288097893
2017,6,23.63748609566185
2017,7,23.999777530589544
2017,8,36.55784204671858
2017,9,62.19699666295885
2017,10,87.59888765294772
2017,11,124.16284760845383
2017,12,155.68553948832042
2018,1,158.85161290322586
2018,2,129.81167964404898
2018,3,108.9439377085651
2018,4,59.58220244716352
2018,5,29.679977753058964
2018,6,19.332591768631815
2018,7,19.28854282536152
2018,8,35.45483870967741
2018,9,61.71123470522803
2018,10,78.87675194660737
2018,11,112.77853170189098
2018,12,146.80767519466073
2019,1,162.08832035595108
2019,2,134.57441601779752
2019,3,117.77764182424917
2019,4,65.21090100111235
2019,5,32.851279199110124
2019,6,23.530367074527252
2019,7,23.99065628476085
2019,8,39.03770856507231
2019,9,62.82291434927697
2019,10,86.8416017797553
2019,11,133.42947719688544
2019,12,170.50200222469414
2020,1,178.94671857619574
2020,2,139.14760845383756
2020,3,118.19977753058957
2020,4,72.92002224694104
2020,5,35.67875417130144
2020,6,22.372080088987772
2020,7,23.85250278086764
2020,8,37.675750834260285
2020,9,61.30133481646274
2020,10,101.28832035595109
2020,11,129.15806451612906
2020,12,156.85038932146833
2021,1,169.67296996662958
2021,2,119.44582869855392
2021,3,103.0953281423804
2021,4,60.63414905450501
2021,5,31.924360400444943
2021,6,21.566963292547282
2021,7,26.346162402669645
2021,8,37.303225806451614
2021,9,61.3067853170189
2021,10,97.77508342602893
2021,11,127.36162402669635
2021,12,157.59855394883206
2022,1,163.27030033370409
2022,2,137.31846496106786
2022,3,117.32736373748611
2022,4,61.76140155728588
2022,5,31.658509454949947
2022,6,18.724249165739714
2022,7,20.01935483870968
2022,8,37.016351501668524
2022,9,61.03103448275863
2022,10,91.36140155728589
2022,11,128.9734149054505
